,POTENCIA1 (cv),PUERTAS,PRECIO,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Peso (kg),Largo (mm),Ancho (mm),Alto (mm),Volume,RShape,BRAND_Abarth,BRAND_Alfa Romeo,BRAND_Aston Martin,BRAND_Audi,BRAND_Bmw,BRAND_Citroen,BRAND_Cupra,BRAND_Dacia,BRAND_Ds,BRAND_Fiat,BRAND_Ford,BRAND_Honda,BRAND_Hyundai,BRAND_Jaguar,BRAND_Jeep,BRAND_Kia,BRAND_Land Rover,BRAND_Lexus,BRAND_Maserati,BRAND_Mazda,BRAND_Mercedes,BRAND_Mini,BRAND_Mitsubishi,BRAND_Morgan,BRAND_Nissan,BRAND_Opel,BRAND_Peugeot,BRAND_Porsche,BRAND_Renault,BRAND_Seat,BRAND_Skoda,BRAND_Smart,BRAND_Ssangyong,BRAND_Subaru,BRAND_Suzuki,BRAND_Toyota,BRAND_Volkswagen,BRAND_Volvo,COMBUSTIBLE_Diesel,COMBUSTIBLE_Eléctrico|Corriente eléctrica ,COMBUSTIBLE_Gasolina,COMBUSTIBLE_Gasolina|Gasolina/gas ,COMBUSTIBLE_Gasolina|Hidrogeno ,COMBUSTIBLE_Híbrido|Diesel y corriente eléctrica ,COMBUSTIBLE_Híbrido|Gasolina y corriente eléctrica ,CO2_ambar,CO2_gris,CO2_rojo,CO2_verde,Tracción_Todo terreno tracción total conectable ,Tracción_Todo terreno tracción total permanente ,Tracción_Tracción delantera ,Tracción_Tracción total conectable ,Tracción_Tracción total permanente ,Tracción_Tracción trasera ,Transmisión_Automática ,Transmisión_Automática continua ,"Transmisión_Automática continua, secuencial ",Transmisión_Automática secuencial ,"Transmisión_Directo, sin caja de cambios ",Transmisión_Manual ,Transmisión_Manual automatizada ,Transmisión_Manual con subgrupos ,Transmisión_Tipo de caja de cambios ,Carrocería_Berlina ,Carrocería_Bus ,Carrocería_Chasis ,Carrocería_Chasis Doble Cabina ,Carrocería_Combi ,Carrocería_Convertible ,Carrocería_Coupe ,Carrocería_Furgon ,Carrocería_Monovolumen ,Carrocería_Pick-Up ,Carrocería_Pick-Up Doble Cabina ,Carrocería_Roadster ,Carrocería_Stationwagon ,Carrocería_Targa ,Carrocería_Todo Terreno 
10,165,2.0,30084,158.0,583.3,6.0,30.874809160305343,1368.0,35.0,5.0,210.0,7.4,5500.0,230.0,1150.0,3660.0,1627.0,1485.0,0.88429077,0.4057377049180328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,180,2.0,30834,159.0,583.3,6.0,30.874809160305343,1368.0,35.0,5.0,225.0,6.7,5500.0,250.0,1150.0,3660.0,1627.0,1485.0,0.88429077,0.4057377049180328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,180,3.0,30884,158.0,583.3,6.0,30.874809160305343,1368.0,35.0,5.0,225.0,6.7,5500.0,250.0,1110.0,3660.0,1627.0,1485.0,0.88429077,0.4057377049180328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,180,3.0,31534,158.0,583.3,6.0,30.874809160305343,1368.0,35.0,5.0,225.0,6.7,5500.0,250.0,1110.0,3660.0,1627.0,1485.0,0.88429077,0.4057377049180328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,180,2.0,32784,159.0,583.3,6.0,30.874809160305343,1368.0,35.0,5.0,225.0,6.7,5500.0,250.0,1150.0,3660.0,1627.0,1485.0,0.88429077,0.4057377049180328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,180,2.0,33434,159.0,583.3,6.0,30.874809160305343,1368.0,35.0,5.0,225.0,6.7,5500.0,250.0,1150.0,3660.0,1627.0,1485.0,0.88429077,0.4057377049180328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,180,3.0,33484,158.0,583.3,6.0,30.874809160305343,1368.0,35.0,5.0,225.0,6.7,5500.0,250.0,1110.0,3660.0,1627.0,1485.0,0.88429077,0.4057377049180328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,180,3.0,34534,155.0,583.3,6.0,30.874809160305343,1368.0,35.0,5.0,225.0,6.7,5500.0,250.0,1045.0,3660.0,1627.0,1485.0,0.88429077,0.4057377049180328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,180,2.0,35384,159.0,583.3,6.0,30.874809160305343,1368.0,35.0,5.0,225.0,6.7,5500.0,250.0,1150.0,3660.0,1627.0,1485.0,0.88429077,0.4057377049180328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,180,3.0,36484,155.0,583.3,6.0,30.874809160305343,1368.0,35.0,5.0,225.0,6.7,5500.0,250.0,1045.0,3660.0,1627.0,1485.0,0.88429077,0.4057377049180328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
